FlowCell Text Data File: Liver_130525.csv
Software Version: 2.30
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.211
Date: 2025-05-13
Time: 12:39:51
User: MS AC

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW55Ti
Speed: 37 rpm
Gradient: Sucrose 10.0% to 50.0% v/v
Time: 1:00
w2t:  x 10^0
Sample Volume: 0.3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.116 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 40.8 mm
Upper Limit to Slow-down Distance: 81.40 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 20
Distance/fraction: 2.04 mm
Start Distance: 0.00 mm
Volume/fraction: 0.237 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 781850
Source A Zero: 240096.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
534807.940, 231645.840, 9.88, 0.773980, , 
515040.870, 231650.160, 9.98, 0.858777, , 
493883.110, 231650.160, 10.08, 0.953176, , 
473123.080, 231650.160, 10.18, 1.049818, , 
454985.640, 231650.160, 10.28, 1.137786, 5, 0.234
440282.510, 231650.160, 10.38, 1.211712, , 
428674.080, 231692.030, 10.48, 1.272249, , 
420979.530, 231686.600, 10.58, 1.312958, , 
417387.420, 231727.590, 10.68, 1.332641, , 
416433.640, 231742.850, 10.78, 1.337937, , 
418035.610, 231717.170, 10.89, 1.329047, , 
421799.950, 231676.500, 10.99, 1.308478, , 
428241.030, 231656.060, 11.09, 1.274174, , 
436553.120, 231692.010, 11.19, 1.231261, , 
445866.120, 231625.260, 11.29, 1.183109, , 
456527.260, 231579.800, 11.39, 1.129491, , 
468631.320, 231661.790, 11.49, 1.071398, , 
480340.640, 231701.690, 11.59, 1.016247, , 
492704.790, 231584.600, 11.69, 0.957915, , 
504535.810, 231623.130, 11.79, 0.904890, , 
516502.870, 231636.380, 11.89, 0.852264, , 
527977.550, 231687.060, 11.99, 0.803307, , 
539040.310, 231687.060, 12.09, 0.756641, , 
548890.290, 231687.060, 12.20, 0.715890, , 
558364.680, 231687.060, 12.30, 0.677376, 6, 0.234
566737.620, 231687.060, 12.40, 0.643880, , 
574698.820, 231748.430, 12.50, 0.613084, , 
581455.180, 231816.720, 12.60, 0.587444, , 
587736.040, 231733.330, 12.70, 0.562456, , 
593053.040, 231725.520, 12.80, 0.542113, , 
597874.640, 231651.230, 12.90, 0.523169, , 
602326.810, 231657.100, 13.00, 0.506529, , 
606724.650, 231696.550, 13.10, 0.490541, , 
610045.420, 231620.930, 13.21, 0.477523, , 
613124.680, 231717.000, 13.31, 0.467125, , 
616636.360, 231725.180, 13.41, 0.454352, , 
619263.320, 231721.010, 13.51, 0.444745, , 
620968.170, 231651.360, 13.61, 0.437881, , 
622689.930, 231662.440, 13.71, 0.431758, , 
624037.960, 231710.950, 13.81, 0.427362, , 
623321.980, 231702.680, 13.91, 0.429865, , 
621121.360, 231667.140, 14.01, 0.437479, , 
616883.200, 231616.990, 14.11, 0.452400, , 
611119.670, 231616.990, 14.21, 0.473525, , 
604066.250, 231616.990, 14.32, 0.499650, 7, 0.234
595983.530, 231616.990, 14.42, 0.529965, , 
588258.760, 231671.460, 14.52, 0.559854, , 
580866.140, 231539.410, 14.62, 0.587031, , 
574921.620, 231636.290, 14.72, 0.611122, , 
570447.090, 231630.520, 14.82, 0.628649, , 
567590.860, 231610.430, 14.92, 0.639750, , 
566328.520, 231592.610, 15.02, 0.644588, , 
566246.790, 231527.950, 15.13, 0.644284, , 
567492.670, 231547.860, 15.23, 0.639532, , 
570105.090, 231561.040, 15.33, 0.629324, , 
573307.610, 231461.630, 15.43, 0.615751, , 
577540.320, 231520.850, 15.53, 0.599773, , 
582014.430, 231600.670, 15.63, 0.583182, , 
586240.830, 231553.380, 15.73, 0.566440, , 
590491.630, 231502.740, 15.83, 0.549689, , 
595302.440, 231462.860, 15.93, 0.531041, , 
600574.330, 231597.090, 16.03, 0.512504, , 
604024.350, 231597.090, 16.13, 0.499613, , 
608183.340, 231597.090, 16.23, 0.484171, , 
611957.930, 231597.090, 16.33, 0.470247, , 
615574.640, 231597.090, 16.44, 0.456986, 8, 0.246
617784.440, 231529.620, 16.54, 0.448266, , 
619680.960, 231534.070, 16.64, 0.441411, , 
621454.710, 231539.080, 16.74, 0.435028, , 
622856.760, 231588.100, 16.84, 0.430433, , 
622912.770, 231554.260, 16.94, 0.429901, , 
622770.540, 231660.290, 17.04, 0.431445, , 
619631.100, 231595.020, 17.14, 0.442185, , 
614644.610, 231520.180, 17.24, 0.459641, , 
607339.880, 231527.530, 17.34, 0.486618, , 
598411.680, 231603.800, 17.44, 0.520687, , 
588114.120, 231564.490, 17.54, 0.559368, , 
578449.510, 231652.100, 17.64, 0.597509, , 
569549.270, 231624.090, 17.75, 0.632132, , 
562071.520, 231631.280, 17.85, 0.661944, , 
556215.920, 231598.360, 17.95, 0.685192, , 
552903.050, 231654.290, 18.05, 0.699179, , 
550885.990, 231643.940, 18.15, 0.707303, , 
550693.630, 231643.940, 18.25, 0.708089, , 
